Facility_Type,Year,Pass_Rate,Risk_One_Rate,Risk_Two_Rate,Risk_Three_Rate
Bar,2010,0.5272727272727272,0.07272727272727272,0.03636363636363636,0.8909090909090909
Bar,2011,0.6285714285714286,0,0.05714285714285714,0.9428571428571428
Bar,2012,0.5263157894736842,0.02631578947368421,0.05263157894736842,0.9210526315789473
Bar,2013,0.5925925925925926,0,0,1
Bar,2014,0.46153846153846156,0,0.05128205128205128,0.9487179487179487
Bar,2015,0.5789473684210527,0,0.05263157894736842,0.9473684210526315
Bar,2016,0.5,0,0.041666666666666664,0.9583333333333334
Bar,2017,0.5333333333333333,0,0.16666666666666666,0.8333333333333334
Bar,2018,0.4090909090909091,0,0.09090909090909091,0.9090909090909091
Bar,2019,0.5925925925925926,0,0.07407407407407407,0.9259259259259259
Bar,2020,0.5,0,0.2,0.8
Bar,2021,0.6785714285714286,0,0.07142857142857142,0.9285714285714286
Bar,2022,0.5,0.03571428571428571,0.10714285714285714,0.8571428571428571
Bar,2023,0.52,0.04,0.04,0.92
Bar,2024,0.4,0,0.13333333333333333,0.8666666666666667
Daycare,2010,0.6857142857142857,0.9857142857142858,0.014285714285714285,0
Daycare,2011,0.7889447236180904,0.9849246231155779,0.005025125628140704,0.010050251256281407
Daycare,2012,0.675392670157068,0.9947643979057592,0.005235602094240838,0
Daycare,2013,0.6260869565217392,1,0,0
Daycare,2014,0.6952380952380952,1,0,0
Daycare,2015,0.673202614379085,0.9934640522875817,0.006535947712418301,0
Daycare,2016,0.704225352112676,1,0,0
Daycare,2017,0.704,1,0,0
Daycare,2018,0.6842105263157895,1,0,0
Daycare,2019,0.7899159663865546,1,0,0
Daycare,2020,0.7692307692307693,1,0,0
Daycare,2021,0.7142857142857143,1,0,0
Daycare,2022,0.6,0.990909090909091,0.00909090909090909,0
Daycare,2023,0.6428571428571429,1,0,0
Daycare,2024,0.6911764705882353,1,0,0
Restaurant,2010,0.7488872403560831,0.7388724035608308,0.2433234421364985,0.017804154302670624
Restaurant,2011,0.7283464566929134,0.7584108804581245,0.22763063707945597,0.01395848246241947
Restaurant,2012,0.6995500173070267,0.7947386638975424,0.19314641744548286,0.012114918656974732
Restaurant,2013,0.6915537618910349,0.7863937734217353,0.2043816661862208,0.009224560392043817
Restaurant,2014,0.7216165913320925,0.8149428343525658,0.1789417708056368,0.0058495081095453335
Restaurant,2015,0.6881174146203782,0.8001693480101609,0.18854078464578042,0.011289867344058707
Restaurant,2016,0.6943264183954011,0.8037990502374407,0.18795301174706325,0.008247938015496127
Restaurant,2017,0.6525957000524384,0.8232826428945988,0.16675406397482959,0.009963293130571578
Restaurant,2018,0.6858006042296072,0.8425646189996643,0.15139308492782813,0.006042296072507553
Restaurant,2019,0.6462829736211031,0.8336330935251799,0.15557553956834533,0.010191846522781775
Restaurant,2020,0.6469622331691297,0.7931034482758621,0.19417077175697867,0.012725779967159278
Restaurant,2021,0.6159737417943107,0.8512035010940919,0.1422319474835886,0.006564551422319475
Restaurant,2022,0.6180081855388813,0.8342428376534788,0.15381991814461118,0.011255115961800819
Restaurant,2023,0.62432518259765,0.8653540806605271,0.12321371864083835,0.011114639568116862
Restaurant,2024,0.6636363636363637,0.8710227272727272,0.09829545454545455,0.03068181818181818
School,2010,0.8181818181818182,0.9216300940438872,0.06269592476489028,0.01567398119122257
School,2011,0.8303030303030303,0.896969696969697,0.07272727272727272,0.030303030303030304
School,2012,0.7625418060200669,0.9364548494983278,0.043478260869565216,0.020066889632107024
School,2013,0.7854785478547854,0.9108910891089109,0.066006600660066,0.0231023102310231
School,2014,0.7542662116040956,0.89419795221843,0.08191126279863481,0.023890784982935155
School,2015,0.8067796610169492,0.8949152542372881,0.07457627118644068,0.030508474576271188
School,2016,0.684931506849315,0.9143835616438356,0.07534246575342465,0.010273972602739725
School,2017,0.7466216216216216,0.902027027027027,0.07432432432432433,0.02364864864864865
School,2018,0.7009063444108762,0.9244712990936556,0.06042296072507553,0.015105740181268883
School,2019,0.7310606060606061,0.9166666666666666,0.041666666666666664,0.041666666666666664
School,2020,0.759656652360515,0.9399141630901288,0.04721030042918455,0.012875536480686695
School,2021,0.7378277153558053,0.9213483146067416,0.056179775280898875,0.02247191011235955
School,2022,0.7180451127819549,0.8947368421052632,0.07142857142857142,0.03383458646616541
School,2023,0.7184466019417476,0.9288025889967637,0.06472491909385113,0.006472491909385114
School,2024,0.6708860759493671,0.9936708860759493,0.006329113924050633,0
